"date_time";"value"
"2016-06-11 23:25:00";5.877
"2016-06-11 23:50:00";5.7
"2016-06-12 00:15:00";5.528
"2016-06-12 00:40:00";5.362
"2016-06-12 01:05:00";5.2
"2016-06-12 01:30:00";5.044
"2016-06-12 01:55:00";4.892
"2016-06-12 02:20:00";4.745
"2016-06-12 02:45:00";4.603
"2016-06-12 03:10:00";4.465
"2016-06-12 03:35:00";4.331
"2016-06-12 04:00:00";4.201
"2016-06-12 04:25:00";4.075
"2016-06-12 04:50:00";3.953
"2016-06-12 05:15:00";3.836
"2016-06-12 05:40:00";3.722
"2016-06-12 06:05:00";3.611
"2016-06-12 06:30:00";3.503
"2016-06-12 06:55:00";3.398
"2016-06-12 07:20:00";3.297
"2016-06-12 07:45:00";3.198
"2016-06-12 08:10:00";3.103
"2016-06-12 08:35:00";3.011
"2016-06-12 09:00:00";2.922
"2016-06-12 09:25:00";2.835
"2016-06-12 09:50:00";2.751
"2016-06-12 10:15:00";2.67
"2016-06-12 10:40:00";2.591
"2016-06-12 11:05:00";2.514
"2016-06-12 11:30:00";2.44
"2016-06-12 11:55:00";2.368
"2016-06-12 12:20:00";2.298
"2016-06-12 12:45:00";2.231
"2016-06-12 13:10:00";2.164
"2016-06-12 13:35:00";2.1
"2016-06-12 14:00:00";2.038
"2016-06-12 14:25:00";1.978
"2016-06-12 14:50:00";1.919
"2016-06-12 15:15:00";1.862
"2016-06-12 15:40:00";1.807
"2016-06-12 16:05:00";1.753
"2016-06-12 16:30:00";1.701
"2016-06-12 16:55:00";1.651
"2016-06-12 17:20:00";1.601
"2016-06-12 17:45:00";1.554
"2016-06-12 18:10:00";1.507
"2016-06-12 18:35:00";1.462
"2016-06-12 19:00:00";1.419
"2016-06-12 19:25:00";1.376
"2016-06-12 19:50:00";1.335
"2016-06-12 20:15:00";1.295
"2016-06-12 20:40:00";1.256
"2016-06-12 21:05:00";1.218
"2016-06-12 21:30:00";1.182
"2016-06-12 21:55:00";1.146
"2016-06-12 22:20:00";1.112
"2016-06-12 22:45:00";1.079
"2016-06-12 23:10:00";1.046
"2016-06-12 23:35:00";1.015
"2016-06-13 00:00:00";0.985
"2016-06-13 00:25:00";0.955
"2016-06-13 00:50:00";0.926
"2016-06-13 01:15:00";0.899
"2016-06-13 01:40:00";0.878
"2016-06-13 02:05:00";0.971
"2016-06-13 02:30:00";1.128
"2016-06-13 02:55:00";1.292
"2016-06-13 03:20:00";1.452
"2016-06-13 03:45:00";1.606
"2016-06-13 04:10:00";1.756
"2016-06-13 04:35:00";1.9
"2016-06-13 05:00:00";2.039
"2016-06-13 05:25:00";2.081
"2016-06-13 05:50:00";2.141
"2016-06-13 06:15:00";2.319
"2016-06-13 06:40:00";2.496
"2016-06-13 07:05:00";2.63
"2016-06-13 07:30:00";2.493
"2016-06-13 07:55:00";2.439
"2016-06-13 08:20:00";2.565
"2016-06-13 08:45:00";2.617
"2016-06-13 09:10:00";2.599
"2016-06-13 09:35:00";2.563
"2016-06-13 10:00:00";2.521
"2016-06-13 10:25:00";2.481
"2016-06-13 10:50:00";2.445
"2016-06-13 11:15:00";2.412
"2016-06-13 11:40:00";2.377
"2016-06-13 12:05:00";2.348
"2016-06-13 12:30:00";2.323
"2016-06-13 12:55:00";2.301
"2016-06-13 13:20:00";2.24
"2016-06-13 13:45:00";2.077
"2016-06-13 14:10:00";1.904
"2016-06-13 14:35:00";1.738
"2016-06-13 15:00:00";1.584
"2016-06-13 15:25:00";1.444
"2016-06-13 15:50:00";1.317
"2016-06-13 16:15:00";1.2
"2016-06-13 16:40:00";1.092
"2016-06-13 17:05:00";0.985
"2016-06-13 17:30:00";0.896
"2016-06-13 17:55:00";0.819
